Perfect_X	Perfect_Y	D62_X	D62_Y	D72_X	D72_Y	P187_X	P187_Y	P212_X	P212_Y	P387_X	P387_Y
		0.27	0.140249	0.27	0.167188	0.27	0.024039	0.27	0.026936	0.27	0.035502
		0.271	0.140547	0.271	0.167584	0.271	0.024052	0.271	0.026966	0.271	0.035537
		0.272	0.140843	0.272	0.167984	0.272	0.024067	0.272	0.026993	0.272	0.035572
		0.273	0.141141	0.273	0.168381	0.273	0.024083	0.273	0.027023	0.273	0.035604
		0.274	0.14143	0.274	0.168777	0.274	0.024096	0.274	0.027048	0.274	0.035636
		0.275	0.141719	0.275	0.169172	0.275	0.024113	0.275	0.027076	0.275	0.035671
		0.276	0.142008	0.276	0.169566	0.276	0.024124	0.276	0.027103	0.276	0.035703
		0.277	0.142302	0.277	0.169959	0.277	0.024139	0.277	0.027132	0.277	0.035736
		0.278	0.142594	0.278	0.170353	0.278	0.024151	0.278	0.027156	0.278	0.035769
		0.279	0.142885	0.279	0.170744	0.279	0.024169	0.279	0.027186	0.279	0.035801
		0.28	0.143168	0.28	0.171135	0.28	0.024182	0.28	0.027213	0.28	0.035834
		0.281	0.143459	0.281	0.171523	0.281	0.024195	0.281	0.027239	0.281	0.035866
		0.282	0.143744	0.282	0.171912	0.282	0.024208	0.282	0.027267	0.282	0.035896
		0.283	0.144029	0.283	0.172302	0.283	0.024223	0.283	0.027295	0.283	0.035929
		0.284	0.144313	0.284	0.172689	0.284	0.024238	0.284	0.02732	0.284	0.035961
		0.285	0.144601	0.285	0.173074	0.285	0.024248	0.285	0.027347	0.285	0.035992
		0.286	0.144883	0.286	0.173459	0.286	0.024265	0.286	0.027373	0.286	0.036024
		0.287	0.145166	0.287	0.173841	0.287	0.024279	0.287	0.0274	0.287	0.036057
		0.288	0.145447	0.288	0.174226	0.288	0.024293	0.288	0.027426	0.288	0.036087
		0.289	0.145727	0.289	0.174607	0.289	0.024304	0.289	0.027451	0.289	0.036119
		0.29	0.146009	0.29	0.174988	0.29	0.024318	0.29	0.027479	0.29	0.03615
		0.291	0.146288	0.291	0.17537	0.291	0.02433	0.291	0.027504	0.291	0.036181
		0.292	0.146566	0.292	0.17575	0.292	0.024345	0.292	0.027531	0.292	0.036212
		0.293	0.146844	0.293	0.176126	0.293	0.024358	0.293	0.027555	0.293	0.036243
